k_all	ksat_all	RCm	RCbeta	soilD_all	error
5.00034	0.00177	1.30237	4.84298	1.39161	20.5555
7.84535	0.00563	0.94651	3.74321	0.76291	17.97256
6.34322	0.00604	1.2689	3.0004	1.30957	26.30707
12.67569	0.00889	1.9914	4.8364	1.22621	25.4466
9.45654	0.00483	1.82412	4.51752	1.153	22.67959
19.423	0.00248	1.75148	1.54073	1.40684	25.19999
19.04365	0.00473	0.7898	2.03761	1.01489	21.81602
16.84677	0.0072	1.20248	0.55879	1.09241	24.0146
14.14227	0.00489	1.29921	2.51267	1.34493	27.01628
16.5927	0.00164	0.58575	3.9238	0.72361	14.26494
6.25951	0.00263	1.32922	3.72263	1.07914	20.07387
9.71197	0.00495	0.97097	4.9623	1.40889	23.56594
13.65587	0.00248	1.47241	2.33333	0.83485	20.66253
6.14327	0.00216	0.55542	0.28277	0.94178	20.50377
12.56245	0.00521	1.26328	0.55772	1.17411	23.46518
6.00055	0.00849	0.93212	0.91045	0.69086	21.21359
19.37819	0.00992	0.44874	3.14903	1.37064	27.40694
15.08979	0.00653	1.27849	1.34957	0.6509	21.43052
16.98409	0.00634	1.81914	1.06996	0.77172	21.55135
9.05722	0.00457	0.41788	3.19953	1.14808	20.9208
6.87633	0.00236	0.40549	2.74912	1.44886	21.39696
5.63906	0.00595	1.53641	2.38094	0.98454	23.71127
5.10883	0.003	0.61082	0.66354	1.07148	21.79207
14.06854	0.00253	1.4715	3.35696	0.74403	18.09437
5.6203	0.00256	0.89023	2.02756	1.25149	22.01519
17.37375	0.00607	1.56792	1.66334	1.1926	25.82003
17.42657	0.00579	1.61572	2.96815	0.64755	20.5832
16.88942	0.00957	1.84693	3.99247	1.28363	26.85337
13.58093	0.00108	0.51761	3.83033	1.01005	14.17808
9.4339	0.00641	1.22986	2.57045	1.34712	27.7313
18.67166	0.00379	1.63859	0.41184	1.48258	20.44748
19.46683	0.003	1.03499	1.58722	1.11379	24.04433
18.7617	0.00151	0.66303	2.23811	1.30192	21.40383
19.75719	0.00652	0.33936	1.27504	1.34161	25.51881
13.28389	0.00194	1.91091	0.97598	1.0348	21.90338
12.8211	0.00852	0.82746	1.65643	0.94011	23.34901
15.60916	0.0098	0.60549	1.87389	1.23509	27.02213
19.30425	0.00131	0.33657	2.90544	1.37965	19.40795
19.72687	0.00155	0.3701	0.68378	1.31163	21.90488
19.6878	0.00377	0.64519	2.09121	1.31654	23.17103
17.9297	0.00657	1.97081	1.02049	1.25456	23.66325
18.73982	0.007	0.31386	4.16982	1.01701	21.8577
16.02709	0.00913	1.54974	1.66697	0.67599	22.75089
13.50174	0.00257	0.82432	2.03339	1.16531	21.31503
8.77322	0.00518	0.93103	2.77756	0.68327	17.36753
8.8625	0.00791	1.31846	1.06287	1.31905	26.41179
11.51887	0.00227	0.83654	4.55171	1.16934	18.76063
17.0275	0.00372	0.52282	2.41	0.74805	16.76118
9.51086	0.0033	0.70252	1.56395	1.49398	27.30125
15.48142	0.0092	1.73286	0.43997	0.97878	18.91967
6.57026	0.00273	1.48647	1.30477	0.50815	18.7763
11.5948	0.00543	0.93182	0.76472	0.51703	19.60303
9.49781	0.00324	1.36652	4.23316	0.96139	19.42833
15.47584	0.00948	0.612	0.99308	0.67903	21.56027
19.36123	0.00455	1.53309	4.01553	0.64246	18.17506
15.73477	0.00292	1.07796	1.87243	1.45493	28.01691
13.76085	0.001	1.9371	3.32967	1.47211	23.18613
8.63896	0.00465	1.39499	4.70698	1.23562	22.6127
11.27414	0.00637	1.86056	0.67062	1.40386	21.62639
9.97297	0.00422	0.78208	3.40945	0.97452	19.5997
6.91962	0.00505	1.21277	2.06611	0.90903	21.73052
14.27458	0.00287	1.55288	0.33199	0.52316	17.74667
10.66852	0.00708	1.92916	2.21827	0.5182	17.73097
13.02012	0.0036	1.8918	1.95242	1.08769	23.21674
13.76473	0.00543	0.81439	0.92465	1.17575	27.67459
16.76282	0.00593	1.81394	3.66288	1.40731	26.26634
16.18476	0.00389	1.68681	3.70719	0.64524	18.34467
8.55774	0.00146	0.62087	1.15597	1.2366	21.11309
13.39839	0.0062	0.54281	0.9751	1.25282	26.1374
16.85352	0.00483	0.48352	1.96423	0.69692	17.46455
19.10206	0.00436	1.31906	2.99067	0.80452	20.62695
14.67198	0.00184	1.68969	3.93566	0.97583	19.99576
19.09682	0.00572	0.93676	1.90116	0.70916	20.57489
14.5104	0.00196	1.36924	3.72084	1.06215	20.2327
15.07676	0.00712	0.92767	3.67052	0.89941	21.52014
5.10628	0.00126	0.70999	4.33311	0.62115	13.57983
10.40065	0.0068	0.64472	1.92359	1.12438	22.92461
14.39052	0.00379	1.28174	4.83588	1.46561	24.4124
7.71518	0.00654	0.31959	1.78554	0.96828	21.03563
14.31525	0.00183	0.52789	0.79823	0.64906	16.10585
11.2419	0.00879	1.85811	3.62885	0.59678	20.1674
11.81323	0.00487	0.82006	2.62036	0.67069	16.99834
14.54179	0.0022	0.99864	3.92765	0.56975	14.33308
5.44299	0.00626	1.97121	4.79763	1.36625	24.73699
10.40293	0.00102	0.81401	4.75276	0.87944	13.93522
11.08608	0.0047	0.6017	1.84525	0.54136	15.61233
17.43999	0.00761	0.73466	4.23769	1.12522	22.79431
10.35182	0.00569	0.45495	3.33616	0.64954	16.17354
7.19941	0.00867	0.71648	0.38597	0.67317	21.3172
7.69723	0.00883	1.35891	2.45318	0.95633	24.57234
15.28457	0.00488	0.44417	1.32645	1.254	22.84418
5.43402	0.00734	0.39358	3.0793	0.90377	20.48812
15.61185	0.00686	1.98955	1.4358	1.35408	25.14176
9.15035	0.00198	1.38913	0.44962	0.69233	19.75766
7.75045	0.00228	0.68251	0.72276	0.62588	17.09129
19.18608	0.00763	1.88892	4.6005	0.63037	20.42797
11.83582	0.00203	1.66356	2.95434	1.23225	23.13629
16.08142	0.0078	1.12191	3.47291	0.72765	20.81116
8.7963	0.00757	0.82596	4.63739	1.40738	25.98804
18.2533	0.00112	1.65892	4.34815	1.3571	22.21464
12.15008	0.00478	1.84975	4.69474	0.9806	21.46026
16.57056	0.00865	0.62954	0.17545	1.39907	26.72982
9.71149	0.00908	1.61102	3.06796	1.09321	25.54105
6.28266	0.0072	0.53994	1.51985	0.95187	21.69496
9.07574	0.00989	1.45137	2.45928	1.42516	28.61366
17.58601	0.00657	1.70524	1.00108	1.10869	23.95141
15.86325	0.00691	0.79207	3.60194	0.7222	19.4548
10.84038	0.00768	1.47651	0.36782	0.77049	18.91218
10.34354	0.00874	0.88073	2.08906	1.17578	26.26065
15.06257	0.0012	0.26855	0.32518	1.04826	17.42116
9.71795	0.00697	1.01038	1.25816	1.44082	28.73368
9.59954	0.00656	1.91574	0.63242	1.28495	20.56271
5.33807	0.0094	0.92444	3.19821	0.87446	21.64427
7.23201	0.00792	0.67582	2.02789	1.17472	24.62564
5.5134	0.00241	1.07718	0.89553	0.88429	22.83776
19.62951	0.00749	1.69557	1.66367	1.33823	26.66289
5.97487	0.00266	0.84385	2.99566	0.97212	17.83429
17.65241	0.00362	0.85258	3.35973	0.61658	15.83133
10.64483	0.00491	0.67371	4.82081	0.89332	17.50948
16.43959	0.00427	1.63915	4.71141	1.12228	22.48635
6.20275	0.00565	1.41704	0.99402	1.46323	25.64731
7.90669	0.00917	0.8267	2.74929	0.8491	21.61809
16.4062	0.0091	0.78181	2.92315	0.70156	20.95228
12.18497	0.00734	1.65564	4.13554	0.88646	22.56222
5.36335	0.0036	1.74746	1.48248	1.44681	24.9349
7.0709	0.00361	1.50504	3.85811	0.80463	18.72198
19.67534	0.00298	0.53975	1.92415	0.66128	16.12254
6.67561	0.00302	1.80546	3.29335	0.52295	16.11689
11.01135	0.00928	1.63753	1.7035	1.42924	27.28689
12.28343	0.00616	1.24569	0.81751	0.96208	24.44518
9.94233	0.00765	0.80576	1.68502	1.39183	30.31465
10.75869	0.00871	0.31742	1.33639	1.05094	22.69386
18.60221	0.00848	1.41188	4.90574	1.26545	26.32377
12.05776	0.00415	1.86619	2.08218	1.4351	25.47235
18.58794	0.00903	1.06674	0.33858	1.10809	23.29653
9.49464	0.00147	0.97163	3.59283	0.54793	14.07172
15.35485	0.00647	1.78877	0.15677	0.97971	17.4688
9.54863	0.00802	0.53183	2.3449	1.39502	26.89065
19.7403	0.00351	1.77874	1.22681	1.36452	24.83615
11.59111	0.00678	1.52396	4.1561	0.6465	19.10299
12.63534	0.00124	0.49167	0.99416	0.70528	15.14936
13.60482	0.00892	0.53574	2.08599	1.08218	23.26404
11.54189	0.00312	0.67495	1.66078	0.98525	20.5652
14.56224	0.0093	1.50945	2.71663	0.56417	20.13898
5.51618	0.00182	0.43535	3.1404	1.13273	15.606
14.82848	0.00728	0.39239	0.85326	1.09046	23.13252
13.59293	0.00656	0.76159	0.34263	1.03548	25.98531
8.5041	0.00483	1.00369	1.53867	0.76861	20.40598
15.40405	0.00939	1.32034	0.49341	1.12966	22.67808
12.91442	0.00209	1.47892	2.52222	1.36767	25.06188
17.42327	0.00928	0.52142	2.44346	1.23795	25.77687
19.44785	0.00236	1.70554	0.67707	1.38929	22.59189
17.11676	0.00597	1.25606	3.18011	1.15786	24.40591
18.55199	0.00297	1.59025	4.89989	1.09427	21.07076
16.8321	0.00551	0.49168	4.09756	0.93966	19.81857
18.15905	0.0074	0.31542	0.38529	0.97743	22.43895
12.04384	0.00602	1.73253	2.57112	0.69984	21.18741
13.19755	0.00346	1.39952	1.05894	1.19096	24.89342
16.71489	0.00371	1.93454	0.3571	1.01861	17.58391
15.7647	0.00564	0.91389	3.11585	0.99619	21.60006
17.1027	0.00357	0.43024	2.78784	1.24746	21.71912
12.67921	0.00293	1.25931	4.85756	0.85193	16.60682
17.39159	0.00967	1.80875	1.32675	1.22582	25.51768
5.42484	0.00261	1.59687	3.59381	0.83775	18.89175
10.1231	0.00532	0.31882	1.78368	0.76408	17.15539
8.93648	0.00874	1.36061	4.69806	0.83784	21.64643
13.56898	0.00586	0.85194	4.25292	1.14102	21.98588
10.81861	0.00713	0.61715	4.75024	0.82145	19.50107
13.23815	0.00922	0.36254	2.79391	0.85055	21.70432
9.13313	0.00715	0.31848	3.27907	1.49224	26.02789
15.97513	0.00722	1.05316	3.14081	1.46262	29.39306
15.24883	0.00485	1.76705	4.25307	0.9397	21.76953
16.85425	0.00793	1.99562	3.71286	0.55742	18.99391
6.56577	0.00766	0.96687	2.78576	1.30331	26.51178
6.07016	0.00866	1.59316	4.36261	0.54617	17.05375
19.49193	0.00103	1.63042	2.7308	1.08649	22.09931
13.99774	0.00382	1.34948	3.38374	0.87726	20.33634
18.19147	0.00141	1.94679	3.7002	0.68302	17.27624
11.09186	0.00101	1.50418	0.1745	0.95678	17.8662
19.07761	0.00724	0.95585	1.79787	1.24631	28.3044
6.53454	0.00318	0.37416	3.82012	1.26445	20.12614
15.76834	0.00305	1.15406	4.86311	0.55496	14.67527
12.64834	0.00878	0.38382	3.29075	0.74202	20.15162
16.29001	0.00104	0.29239	4.80794	0.64731	14.0583
5.09684	0.00684	1.06508	0.88308	1.08849	25.98417
9.195	0.008	1.02129	4.33145	1.31521	25.71329
19.44494	0.00792	1.53886	4.12966	0.77126	22.0231
5.88667	0.00416	0.62907	3.56896	0.51638	14.15981
12.51237	0.00364	0.59664	2.90038	0.95304	18.06321
6.95034	0.00397	1.73467	1.33338	0.79683	21.5229
9.44033	0.00361	1.37075	4.0188	0.65665	15.99239
5.187	0.00813	1.52321	1.94873	1.04489	25.02835
8.16622	0.00198	1.24819	2.30628	1.09747	21.50804
13.06495	0.00589	1.42272	2.38274	1.22303	26.18133
16.75188	0.00414	0.74996	2.81873	1.12612	21.63545
16.65699	0.00988	0.72884	4.37876	0.56395	18.29718
5.21745	0.00802	1.11213	4.68095	1.03831	21.98934
19.26946	0.00168	1.0743	3.12145	1.49197	23.74487
19.37661	0.00894	1.36855	0.31277	0.97755	20.08082
5.89735	0.00745	0.56833	1.07929	1.2646	26.91641
7.38807	0.0097	1.4427	0.49364	1.25143	21.7254
17.10808	0.00641	0.73187	3.79406	1.23373	22.87599
5.40107	0.0071	1.61111	0.34508	0.60381	17.36992
10.41056	0.00582	0.3794	4.85064	0.78187	17.03951
14.36914	0.00553	0.38866	2.81146	1.19465	22.14763
8.57101	0.00764	0.99305	0.97062	1.30713	27.80574
15.61311	0.00728	0.36569	1.0002	0.67444	19.81079
6.28042	0.00528	1.76964	0.94068	1.32652	23.34294
15.17168	0.00229	1.52586	4.45223	1.09555	20.52958
17.30162	0.00497	0.86422	3.1705	0.6622	17.33297
8.48433	0.00839	0.50662	0.91961	0.99738	23.25825
7.52893	0.00328	0.3992	0.93422	1.0522	20.60383
6.99379	0.00239	0.4421	1.15289	1.34043	21.6574
8.99129	0.00317	1.02621	3.50855	1.14375	20.72699
11.28166	0.00832	0.3455	4.92095	0.63996	17.61749
8.7024	0.00624	0.39541	4.74165	1.30158	22.62055
19.77787	0.00268	1.0224	0.50648	0.98118	24.46068
9.22778	0.00357	1.40853	4.46108	0.83627	17.91841
19.44294	0.00411	1.9105	4.38972	0.85211	20.60883
5.08508	0.00812	0.67013	4.53459	1.03738	21.90505
6.89282	0.00291	1.53197	3.10978	0.57786	16.05222
5.14539	0.00876	1.68706	3.5928	1.43151	27.47275
10.99323	0.00665	1.61849	2.72947	1.09623	24.74837
12.1453	0.00147	1.16794	1.96724	1.44086	26.53414
13.89108	0.00168	0.51292	0.92588	0.81029	16.37665
18.88738	0.00555	0.79996	3.7416	1.37151	24.5995
7.90132	0.00669	0.66297	4.68128	0.51375	15.0248
7.72031	0.00238	0.66835	4.42689	1.14088	17.06055
7.83443	0.00454	0.33146	0.29206	1.33062	25.5921
19.77166	0.0027	0.26177	1.75358	1.18311	20.25451
16.11984	0.00444	0.83799	0.91626	1.15139	26.74897
6.70061	0.00712	0.58937	1.71354	1.49775	30.00923
10.5949	0.00786	1.47573	1.63673	1.26104	26.61921
14.43907	0.00592	1.99619	4.1676	1.37746	25.36899
18.08097	0.00489	1.18897	0.48265	0.53379	20.37549
13.53463	0.00999	0.35753	4.91493	0.53511	17.22189
19.57348	0.00498	0.2606	0.62451	0.91626	20.79869
6.34873	0.00379	1.3094	2.65167	1.38083	26.19538
5.78324	0.00557	1.13354	1.03638	0.56986	19.68663
12.03992	0.00934	0.60436	0.65665	1.00869	25.86142
15.67407	0.00878	0.34167	0.7255	0.96925	22.60873
18.99359	0.00361	0.3969	1.61873	1.3709	22.65351
9.85406	0.00724	1.06316	4.19842	1.21484	23.86399
11.26799	0.00843	1.20313	2.67784	1.1185	25.80224
18.88863	0.00577	1.65511	1.54388	1.29868	25.96411
5.11579	0.00657	0.29955	1.28491	1.19931	22.46629
17.87416	0.00929	1.15886	3.97347	0.91397	22.81373
10.80474	0.00131	1.17414	3.77144	1.42537	21.23374
7.27462	0.00893	1.14822	1.73427	1.46562	29.0962
13.86262	0.00551	0.72022	3.03305	0.74898	18.1366
7.1941	0.00796	1.80866	1.46455	0.72037	21.47067
11.94315	0.0056	1.16566	4.8174	1.44672	25.72216
6.98851	0.00253	1.84415	3.04503	0.50103	15.84225
7.91048	0.00219	1.28426	3.49942	0.82157	16.86286
11.93454	0.00822	1.89783	4.7263	1.22522	25.22499
15.15314	0.00535	1.11389	2.80177	1.45651	28.43184
15.59652	0.00368	0.29839	0.20341	1.33056	24.95682
16.44295	0.00258	0.69129	4.41931	0.73896	14.98789
11.78581	0.00274	0.57911	3.41777	1.47803	22.01019
6.77134	0.00353	1.10568	1.06309	1.15429	25.7832
14.23404	0.00779	1.95993	3.44336	1.31995	26.08141
8.16056	0.00902	1.14564	3.73133	1.27037	26.61966
5.46902	0.00397	0.99126	2.97453	0.93678	19.85822
14.84064	0.0084	1.83541	2.07627	0.57711	19.86359
14.68422	0.0053	0.36887	1.15906	1.3216	24.26348
5.53555	0.00481	0.32549	1.07451	0.73839	16.34697
6.19662	0.00818	1.8009	4.98708	0.5051	15.28226
15.52608	0.00678	1.04192	4.99509	1.36866	25.34953
14.61419	0.00193	0.95624	0.76065	1.10689	25.92398
8.52805	0.00547	0.87238	2.88451	0.91274	20.59596
17.58164	0.00593	1.04408	1.72763	0.99264	23.99897
6.53444	0.00952	0.43998	1.80068	0.84929	21.76487
16.60008	0.00841	1.59754	1.2513	1.38648	26.49364
15.61085	0.00488	0.56627	4.25904	1.19472	21.83031
13.85508	0.00315	1.78842	0.22768	1.38873	17.38379
